TransactionID,Time,Amount,TransactionType,AccountBalance,Age,Location,PreviousFrauds,Fraud
1502,30561,36.7,Online,49326.77,23,Suburban,4,0
2587,7999,1285.31,In-store,10891.73,51,Urban,4,0
2654,28228,1261.47,ATM Withdrawal,54131.87,46,Urban,0,0
1056,36244,591.99,Online,96635.22,69,Rural,0,0
706,70080,1123.79,ATM Withdrawal,15469.62,29,Suburban,3,0
107,52256,252.02,Online,61710.74,75,Suburban,3,0
590,57799,62.69,Online,39194.52,40,Suburban,1,0
2469,68056,938.45,In-store,52258.84,21,Suburban,2,0
2414,48758,995.86,In-store,57116.45,71,Suburban,4,0
1601,3093,3527.74,ATM Withdrawal,54997.32,21,Rural,0,0
2465,82368,3646.33,In-store,51105.92,21,Urban,1,0
229,60713,2039.17,In-store,95450.6,21,Suburban,0,0
916,9865,838.13,Online,38556.59,27,Urban,1,0
795,22574,4558.72,ATM Withdrawal,36734.19,23,Suburban,2,0
3022,73869,494.33,In-store,33093.71,44,Urban,0,0
3544,85140,3038.87,Online,46473.14,31,Urban,0,0
1074,49688,2389.23,Online,48686.38,56,Suburban,3,0
3352,77949,3761.92,Online,75187.92,36,Suburban,4,0
1745,10326,1328.52,Online,14848.83,63,Rural,1,0
1085,67526,4101.8,ATM Withdrawal,27833.49,53,Suburban,1,0
927,36258,2340.43,Online,38219.43,35,Rural,2,0
3050,49334,623.05,ATM Withdrawal,20408.08,73,Suburban,0,0
1118,72847,2727.91,In-store,12961.38,25,Urban,0,0
643,78752,208.1,In-store,1930.1,52,Urban,3,0
4768,48920,4079.46,In-store,82086.73,49,Rural,1,0
502,44811,3378.43,Online,15921.46,76,Urban,2,0
4067,16193,4212.44,Online,23173.2,72,Suburban,4,0
334,56958,1814.41,In-store,54650.0,79,Suburban,1,0
4685,44825,2663.9,In-store,7912.75,78,Urban,4,0
487,38756,3082.52,Online,59969.23,65,Rural,2,0
1963,6471,2553.09,ATM Withdrawal,34446.91,22,Urban,4,0
394,5949,4884.0,In-store,39682.39,26,Urban,3,0
4843,79414,4222.76,ATM Withdrawal,62539.75,44,Rural,3,0
4867,57415,2482.5,In-store,82119.02,66,Urban,1,0
1756,2356,1102.42,Online,37225.14,75,Suburban,3,0
2516,69122,4963.14,In-store,2407.66,18,Urban,1,0
3586,76240,973.55,Online,75570.63,24,Urban,4,0
4316,15810,673.32,In-store,64398.92,26,Rural,4,0
4967,4765,154.85,In-store,3583.1,64,Urban,2,0
2100,70587,2706.65,In-store,20969.85,61,Rural,1,0
3600,29336,1255.69,Online,18056.72,55,Suburban,2,0
4122,29943,2040.41,Online,65876.71,24,Suburban,3,0
30,65725,722.4,ATM Withdrawal,7608.34,71,Rural,4,0
66,65697,1249.61,Online,93388.42,65,Urban,4,1
839,3596,2428.75,ATM Withdrawal,92123.73,27,Urban,2,0
3907,8712,2496.72,Online,25624.73,60,Urban,3,0
3774,3696,2503.4,ATM Withdrawal,32923.89,22,Rural,1,0
4636,29768,3806.62,ATM Withdrawal,10483.14,28,Urban,3,0
3162,75769,1528.94,ATM Withdrawal,98360.72,79,Urban,0,0
2660,29055,4772.16,Online,19001.98,34,Urban,1,0
